ride_id,driver_id,passenger_id,pickup_location,dropoff_location,ride_distance,ride_duration,ride_timestamp,fare_amount,payment_method
1,102,232,Pimpri-Chinchwad,Hyderabad,19.33,18,2022-11-08,2793.75,Cash
2,105,202,Narasaraopet,Kurnool,15.67,53,2023-02-07,841.10,Cash
3,123,229,Pali,Thoothukudi,15.43,11,2022-11-17,2191.79,Credit Card
4,125,231,Proddatur,Hazaribagh,12.34,31,2022-12-03,3065.67,Cash
5,106,207,North Dumdum,Karawal Nagar,19.53,50,2022-12-24,3613.99,Credit Card
6,142,243,Hospet,Bhilai,15.28,56,2023-01-12,504.36,Credit Card
7,109,236,Raurkela Industrial Township,Agartala,12.23,18,2023-05-19,1623.36,Cash
8,116,240,Deoghar,Nashik,9.91,37,2023-05-09,798.64,Credit Card
9,108,203,Katihar,Bellary,13.69,27,2022-08-25,3140.92,Credit Card
10,148,205,Akola,Durg,17.70,22,2023-02-06,486.49,Cash
11,123,214,Raichur,Hospet,17.82,10,2023-03-02,1289.59,Cash
12,101,230,Rohtak,Guntakal,17.55,16,2023-01-08,2939.77,Credit Card
13,120,208,Gandhinagar,Sikar,12.41,23,2023-06-29,2633.58,Credit Card
14,104,246,Dhanbad,Guntakal,19.01,46,2022-12-21,3301.10,Cash
15,125,203,Kishanganj,Kakinada,10.25,51,2023-08-05,2384.00,Credit Card
16,132,249,Khandwa,Mehsana,3.00,8,2023-03-22,692.10,Credit Card
17,140,213,Panchkula,Jhansi,3.76,28,2023-05-12,1190.51,Cash
18,119,215,Aligarh,Khora ,7.92,34,2022-12-12,1527.25,Cash
19,145,231,Berhampur,Gulbarga,14.13,47,2023-04-03,3346.54,Credit Card
20,146,206,Hosur,Satna,7.19,11,2023-02-02,517.77,Cash
21,117,211,Mathura,Solapur,4.28,52,2023-05-16,2912.95,Credit Card
22,149,225,Dindigul,Baranagar,8.17,9,2022-09-17,3022.47,Cash
23,144,244,Gandhinagar,Shimla,5.02,11,2023-06-20,1541.41,Credit Card
24,142,204,Hajipur,Imphal,16.40,44,2022-09-24,549.07,Cash
